Beras Premium,Beras Medium,Kedelai Biji Kering (Impor),Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Murni,Daging Ayam Ras,Telur Ayam Ras,Gula Konsumsi,Minyak Goreng Kemasan Sederhana,Tepung Terigu (Curah),Minyak Goreng Kemasan Premium,Minyak Goreng Curah,Jagung Tk Peternak,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Garam Halus Beryodium,Tepung Terigu Kemasan (non-curah)
12160,11060,12960,41520,32560,50110,70320,136720,34790,23500,14650,18280,9240,,,,,,,,
12580,11170,12630,41400,32640,55990,77960,131140,36660,23820,14580,17960,9290,,,,,,,,
12480,11060,12960,41160,32530,54940,80340,134710,36320,24010,14650,17790,9240,,,,,,,,
12480,11060,12960,40600,32530,54850,77350,134710,36120,24190,14820,18280,9240,,,,,,,,
12480,11060,12960,41160,34230,52930,76570,132860,35900,25070,14820,18280,9240,,,,,,,,
12480,11060,12960,40810,32530,52930,77460,132860,35900,25250,14820,18280,9240,,,,,,,,
12480,11060,12960,40260,32910,51820,75140,132860,35900,25250,14820,18280,9240,,,,,,,,
12480,11060,12960,40260,32910,52600,75140,132860,36110,25420,14820,18280,9240,,,,,,,,
12480,11060,12960,39520,32560,53780,75140,132860,35520,25590,14820,18280,9240,,,,,,,,
12480,11060,12960,39520,32560,54640,73370,132860,35550,25590,14820,18280,9240,,,,,,,,
12480,11060,12960,40060,32560,55820,76630,132860,35390,25590,14820,18280,9240,,,,,,,,
12480,11060,12960,39900,32560,55820,76630,134850,36330,25590,14820,18600,9240,,,,,,,,
12480,11060,12960,39900,32930,53980,74890,134850,37320,25410,14820,18110,9240,,,,,,,,
12480,11060,12960,39900,32560,50950,71190,132860,36540,25410,14820,18770,9240,,,,,,,,
12480,11060,12960,39900,32930,52930,69940,132860,36910,25410,14820,19060,9240,24000,,,,,,,
12480,11060,12960,39900,32930,52100,70060,132860,37320,25410,14820,19480,9240,,,,,,,,
12480,11060,12960,39020,32930,54940,71140,135910,36910,24890,14980,20130,9330,,,,,,,,
12960,11490,12000,37420,32400,46900,67080,134910,40000,23980,14490,19440,9220,,,,,,,,
12410,10780,12840,38160,31580,50460,63590,135910,36950,25340,14990,19430,9330,,,,,,,,
12410,10530,12960,37980,31580,50460,62530,135910,36950,25340,14990,19430,9240,,,,,,,,
12410,10530,12960,37980,31580,49580,61700,135910,36570,25160,14990,19430,9330,,,,,,,,
12410,10530,12960,37980,30780,48710,60810,135910,36350,24990,14990,19280,9330,,,,,,,,
12410,10530,12960,37980,31580,47110,60390,135910,36570,25160,14990,18950,9330,,,,,,,,
12500,10640,12960,37590,30940,48680,61630,134910,37430,25600,14990,18960,9090,,,,,,,,
12410,10530,12960,37980,31580,47870,59230,136940,36740,25680,14990,19280,9420,,,,,,,,
12380,10470,12960,38500,31580,46020,57860,136940,36540,25700,14820,19280,9420,,,,,,,,
12380,10470,12960,38500,31580,46020,57860,136940,36740,25700,14820,19280,9420,,,,,,,,
12380,10470,12960,38500,31580,46020,59650,136940,36330,25700,14820,19280,9420,,,,,,,,
12380,10470,12960,38830,31580,44510,58010,136940,37350,25700,14990,19280,9740,,,,,,,,
12350,10470,12960,38830,32640,44510,58940,136940,38840,25870,14990,19810,9740,,,,,,,,
12350,10470,12960,38830,32640,44510,58010,136940,37530,26080,15150,19770,9740,,,,,,,,
12310,10400,12960,38830,33490,45760,58010,133750,37530,25700,15150,20750,9740,,,,,,,,
12310,10400,12960,38830,32640,47850,58940,138990,38150,25700,14980,20580,9590,,,,,,,,
12310,10400,12960,39710,32640,50460,59800,136940,38530,25700,14980,20580,9590,,,,,,,,
12310,10400,12960,39710,32640,49580,57930,136940,38530,25350,15150,20580,9590,,,,,,,,
12310,10400,12960,39710,32640,47540,55820,136940,38530,25700,15150,20580,9590,,,,,,,,
12380,10490,12960,40720,31910,49490,53870,134910,38660,25840,14970,20480,9900,,,,,,,,
12310,10400,12960,41410,33160,44300,50070,135910,38930,25700,15150,20580,9920,,,,,,,,
12310,10400,12960,41410,33160,45090,52530,136940,38320,25870,15150,20580,9920,,,,,,,,
12310,10400,12960,40600,32920,43530,50070,136940,38860,25610,15240,21120,9920,,,,,,,,
12380,10290,12960,37920,32520,39870,44890,136940,38860,24290,15090,21410,9540,,,,,,,,
12310,10400,12960,38830,32400,41600,45670,135910,38430,24990,15240,21120,9920,,,,,,,,
12310,10400,12960,39710,32400,42680,45670,135910,38860,24990,15080,21120,9920,,,,,,,,
12310,10400,12960,38830,32400,40790,43800,135910,38430,25340,15080,21120,9590,,,,,,,,
12310,10400,12960,38830,32400,40790,42940,135910,36540,25160,15080,21120,9590,,,,,,,,
12310,10400,12960,39370,32400,39900,41070,136940,37150,24910,14900,21120,9760,,,,,,,,
12310,10400,12960,39370,32400,39020,41070,137910,37740,25520,14900,22070,9760,,,,,,,,
12310,10400,12960,37850,31580,39020,41070,137910,37740,25520,14900,21520,9760,,,,,,,,
12310,10400,12960,40600,32400,37490,42830,137910,37740,25870,14900,24270,9950,,19720,,,,,,
12310,10400,12960,38700,32400,37490,42830,138840,37740,26260,14900,24410,9950,,19630,,,,,,
12310,10400,12960,39710,32400,39340,43800,139860,38110,26050,14900,24410,9950,,19630,,,,,,
12380,10490,12960,41120,31910,43380,44600,142440,39610,26270,14890,24300,9940,,18970,,,,,,
12310,10400,12960,41850,33130,43640,44570,143920,38640,26050,14900,24300,9950,,20850,,,,,,
12310,10400,12960,43180,33130,47440,47760,145920,38640,26050,14900,23110,9780,,21900,,,,,,
12310,10400,12960,42340,33130,46700,48060,151950,38860,26050,14900,24250,9950,,19960,,,,,,
12310,10400,12960,43490,33130,50460,47490,155920,40490,26560,14900,24080,9950,,20420,,,,,,
12310,10400,12960,46100,33130,51260,47930,157950,41130,27650,14900,24410,10110,,20230,,,,,,
12310,10400,12960,46510,35240,53620,51280,162950,41730,27240,14900,24410,9950,,20920,,,,,,
12380,10490,12960,47230,33200,53430,52130,162280,41650,27500,14990,24100,9940,,19980,,,,,,
12960,11490,12000,48480,32400,57450,62050,150000,40000,28280,14970,26460,10950,,21000,,,,,,
12000,10490,12000,44720,32400,51960,52920,170000,40000,28840,15490,24820,10390,,,,,,,,
12470,10720,12630,44720,31690,52200,51600,154840,40000,27600,14980,24130,9930,,20490,,,,,,
12380,10490,12960,44780,32910,48160,51940,151070,39160,27780,14890,23900,9940,,19980,,,,,,
12310,10400,12960,44810,34000,46700,48760,149550,38320,27060,14900,24080,9950,,20230,,,,,,
12380,10490,12960,44890,33450,48160,50730,149480,38410,27280,14890,24100,9940,,20330,,,,,,
12310,10400,12960,43060,33710,45670,47690,147810,37310,28010,14900,24410,9950,,20250,,,,,,
12310,10400,12960,44810,34000,45390,47400,143920,38720,27660,14900,25300,9950,,20470,,,,,,
12310,10400,12960,42340,32640,42800,45280,145790,37310,28010,14900,25130,9950,,20470,,,,,,
12310,10400,12960,43180,32640,42800,46080,143920,38120,27840,14900,25130,9950,,20470,,,,,,
12310,10400,12960,43180,33130,43270,46080,143920,37700,27840,14900,25130,9950,,20720,,,,,,
12310,10400,12960,44810,33130,42320,45870,143920,37310,27840,14900,25130,9950,,20470,,,,,,
12310,10400,12960,46510,32750,41850,44780,144930,38390,27650,14900,25130,10260,,20980,,,,,,
12310,10400,12960,46510,32910,41850,45670,146940,38170,27740,14900,25130,10260,,20980,,,,,,
12310,10400,12960,47160,33490,42680,45670,145920,38170,27580,14900,25130,10260,,20980,,,,,,
12310,10400,12960,48800,33950,43030,46480,146940,37280,27490,14900,25130,10260,,20980,,,,,,
12310,10400,12960,47020,33950,42340,46700,143920,37280,27490,14900,24960,10260,,20730,,,,,,
12310,10400,12960,47950,33590,45670,47560,144930,37280,27660,14900,24960,10260,,20730,,,,,,
12310,10400,12960,49580,32850,48240,55960,144930,37700,28020,14900,24960,10080,,20000,,,,,,
12310,10400,12960,49300,32400,45980,56660,144860,37280,28190,14730,25130,10080,,20000,,,,,,
12310,10400,12960,48860,32400,48140,52220,144860,37280,28190,14730,25130,10080,,20000,,,,,,
12310,10400,12960,48860,32400,48140,53640,144860,37280,28520,14730,25130,10080,,20000,,,,,,
12310,10400,12960,48090,32400,44510,55300,144860,37280,28700,14730,25130,10080,,19480,,,,,,
12310,10400,12960,49830,32400,49430,63090,145790,38390,28700,14570,24960,10080,,18980,,,,,,
12310,10400,12960,49830,32400,51300,62320,145790,36920,28700,14730,26270,10080,,18980,,,,,,
12310,10400,12960,48190,32400,53820,63870,145790,37880,28700,14730,24790,10080,,18980,,,,,,
12380,10570,12630,48860,31910,52660,62790,142440,37110,29070,14780,24950,10100,,18980,,,,,,
12310,10400,12960,49830,32400,52210,63230,145790,37330,29050,14730,24790,10080,,18330,,,,,,
12310,10400,12960,49830,32400,57220,68170,145790,36950,29230,14730,24620,10080,,17980,,,,,,
12310,10400,12960,49830,32400,58140,68950,146810,36550,28510,14730,24790,10080,,17980,,,,,,
12310,10400,12960,50720,32400,59860,70750,145790,36760,29560,14730,24790,10080,,17660,,,,,,
12310,10400,12960,50720,32400,59780,73240,145790,37530,29230,14730,24790,9740,,17970,,,,,,
12310,10400,12960,49050,31920,61740,73240,145790,36950,29230,14730,24790,10080,,17730,,,,,,
12310,10400,12960,49830,31920,62320,77350,145790,37360,30090,14730,24620,10080,,17640,,,,,,
12380,10490,12960,50860,31910,66810,78910,147270,37710,30310,14680,24540,9740,,17000,,,,,,
12310,10400,12960,52370,32400,66020,83680,145880,39680,29730,14730,24620,10080,,17730,,,,,,
12310,10400,12960,51460,32400,69880,89050,144860,40070,29910,14730,24090,10080,,17460,,,,,,
12310,10400,12960,53130,32400,74580,96190,143920,39960,29910,14730,23920,10080,,17730,,,,,,
12470,10470,12630,52200,31180,72000,92120,142440,40150,28990,14490,23220,9670,,16980,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
12310,10400,12960,71510,31180,102190,112890,142940,41300,28530,14900,22860,10420,,15730,,,,,,
12310,10400,12960,70510,31620,95830,106060,142940,41300,28700,14900,23400,10420,,15730,,,,,,
12310,10400,12960,70700,31180,98450,106450,138610,41300,29050,14900,23400,10420,,15980,,,,,,
12310,10400,12960,70400,30980,97730,106560,142940,41300,29050,14900,23030,10220,,15980,,,,,,
12380,10290,12960,68340,28750,97280,101260,142940,41300,27980,14690,22150,10130,,15730,,,,,,
12310,10400,12960,69940,30600,102360,104880,142940,41300,28870,14900,23320,10220,,14080,,,,,,
12310,10400,12960,65740,31340,101490,101600,142940,39500,29230,14820,23210,10220,,15210,,,,,,
12380,10490,12960,64850,30960,104600,100510,143690,39890,29270,14780,23060,9900,,15330,,,,,,
12310,10400,12960,64870,30800,99630,93780,142940,39500,29040,14820,23030,10220,,15480,,,,,,
12310,10400,12960,64010,30600,98050,90110,142940,39500,29040,14820,22870,10220,,15240,,,,,,
12310,10400,12960,61490,30980,96280,90440,142940,39500,29230,14820,22870,10220,,15240,,,,,,
12310,10400,12960,61490,30600,96280,88450,142940,39470,29040,14820,22340,10220,,14980,,,,,,
12310,10400,12960,60680,30600,92760,86530,142940,39690,29040,14820,22340,10220,,15240,,,,,,
12380,10290,12960,53670,28330,85860,79430,142940,39040,27980,14590,19970,9900,,14980,,,,,,
12310,10400,12960,53570,30600,87500,85950,142940,39040,28870,14820,22340,10220,,14980,,,,,,
12310,10400,12960,52630,31180,86500,82980,142940,39260,29050,14820,22340,10220,,14980,,,,,,
12280,10400,12960,52630,30980,87500,82980,142940,39040,29040,14820,22500,10220,,14980,,,,,,
12280,10400,12960,52550,30980,86620,84090,142940,39040,28870,14820,22340,10220,,14730,,,,,,
12280,10400,12960,53480,30780,86620,83190,142940,39040,28870,14820,22340,10220,,14730,,,,,,
12280,10400,12960,51720,30980,84810,82090,141950,39040,28530,14820,22340,10220,,14730,,,,,,
11960,10110,13300,51270,31620,83530,79560,140000,39070,29070,14780,22840,10270,,15330,,,,,,
12280,10400,12960,52710,30980,85630,84360,140000,39750,28530,14650,22340,10220,,14980,,,,,,
12330,10290,12960,48680,28330,80860,76690,140000,39780,27390,14390,21360,9900,,14980,,,,,,
12280,10400,12960,50710,30600,86620,83190,140000,39780,28710,14650,22500,10220,,14980,,,,,,
11910,10720,12960,51610,30980,84710,82090,140000,39780,28890,14650,21950,10220,,14730,,,,,,
12280,10400,12960,48860,30400,83910,82240,140000,39780,28710,14650,21950,10220,,14730,,,,,,
12280,10400,12960,50870,30250,83010,81360,140000,38860,28710,13960,21950,10220,,14730,,,,,,
12280,10400,12960,50430,30250,83060,80490,140000,39410,28530,14650,20930,10220,,14730,,,,,,
12280,10400,12960,46480,31790,78650,72120,140000,35760,29220,14650,20690,10390,,14330,,,,,,
12280,10400,12960,43940,30060,77810,70420,140000,36130,28670,14650,20930,10390,,14600,,,,,,
12310,10470,12960,46600,30060,78130,69800,140000,35760,29190,14650,20930,10390,,14600,,,,,,
12280,10400,12960,43940,30060,74350,68700,140000,36130,29190,14650,20930,10390,,14600,,,,,,
12310,10470,12960,46100,30980,75100,69380,140000,38860,30220,14650,20930,10390,,14600,,,,,,
12310,10400,12960,45300,30980,74180,67480,140000,35830,30580,14650,20930,10390,,14480,,,,,,
